nom_methode_dpe;version_methode_dpe;date_etablissement_dpe;consommation_energie;classe_consommation_energie;estimation_ges;classe_estimation_ges;annee_construction;surface_thermique_lot;latitude;longitude;tr001_modele_dpe_type_libelle;tr002_type_batiment_description;code_insee_commune_actualise;tv016_departement_code;geo_adresse;geo_score
FACTURE;VERSION_2012;24/04/2013;0;A;0;A;1850;25;48,854384;2,30739;Location;Logement;75107;75;38 Rue Chevert 75007 Paris;0,97
3CL - DPE;V2012;26/04/2013;195,93;D;8,62;B;1950;45,85;43,029531;2,978246;Location;Logement;11379;11;4 Rue de l?Arcade 11130 Sigean;0,95
3CL - DPE;V2012;24/04/2013;164,88;D;38,58;E;2006;60,33;46,303075;6,442862;Location;Logement;74210;74;153 Rue des frasses 74550 Perrignier;0,95
MÇthode 3CL;3CL-DPE, version 1.3;08/05/2013;193;D;45;E;1948;63,06;;;Location;Logement;57525;57;;0
FACTURE - DPE;V2012;03/05/2013;357,06;F;83,55;G;1948;91,25;48,911424;2,460887;Vente;Maison Individuelle;93008;93;38 Rue Eugene Pottier 93000 Bobigny;0,97
3CL - DPE;V2012;30/04/2013;360;F;61,17;F;1900;175,18;45,548751;-0,836056;Vente;Maison Individuelle;17015;17;Lieu Dit Haut Prezele 17120 Arces;0,89
3CL - DPE;V2012;12/04/2013;286,38;E;15,81;C;1988;87,64;43,701545;7,286015;Vente;Logement;06088;06;8 Place des Cigalusa 06300 Nice;0,78
MÇthode Facture;;13/05/2013;223;D;52;E;1947;108;;;Vente;Maison Individuelle;18000;18;;0
3CL - DPE;V2012;19/04/2013;0;N;0;N;1945;47,91;47,005936;-0,344366;Vente;Maison Individuelle;79168;79;5 Rue de la Sablonniere 79290 Val en Vignes;0,7
MÇthode 3CL;3CL-DPE, version 1.3;21/05/2013;325;E;11;C;1975;117,5;42,942141;1,67208;Location;Maison Individuelle;09300;09;Ch de la Font 09000 Soula;0,32
MÇthode Facture;;03/05/2013;205;D;23;D;1947;56,4;;;Location;Maison Individuelle;40220;40;;0
3CL - DPE;V2012;25/05/2013;182;D;33;D;1974;183;44,025761;5,937449;Vente;Maison Individuelle;04149;04;4 Boulevard des Poilus 04310 Peyruis;0,95
3CL - DPE;V2012;31/05/2013;381,17;F;20,36;C;1994;100,96;45,035903;3,091246;Location;Maison Individuelle;15187;15;Rue Blaise Pascal 15100 Saint-Flour;0,65
MÇthode 3CL;3CL-DPE, version 1.3;24/04/2013;227;D;13;C;1983;130;;;Vente;Maison Individuelle;95470;95;;0
TROIS_CL_DPE;VERSION_2012;24/04/2013;386,12;F;90,35;G;1974;112;;;Vente;Maison Individuelle;35013;35;;0
MÇthode 3CL;3CL-DPE, version 1.3;02/05/2013;255;E;10;B;1979;125;;;Vente;Maison Individuelle;87410;87;;0
3CL - DPE;V2012;16/05/2013;45,42;A;5,45;A;1930;177;48,33022;3,441013;Vente;Maison Individuelle;89469;89;17 Rue des Tilleuls 89260 Perceneige;0,95
3CL - DPE;V2012;08/05/2013;238,47;E;11,69;C;1971;174;48,193428;6,374309;Vente;Maison Individuelle;88483;88;3 Rue du Loix 88390 Uxegney;0,95
TROIS_CL_DPE;VERSION_2012;30/04/2013;203,7;D;9,36;B;2001;80,54;48,989681;1,165488;Vente;Maison Individuelle;27017;27;3 Place des Noisetiers 27930 Angerville-la-Campagne;0,52
FACTURE - DPE;V2012;03/05/2013;184,25;D;55,27;E;1948;79,1;45,774363;3,093028;Vente;Logement;63113;63;30 rue d'Amboise 63000 Clermont-Ferrand;0,97
MÇthode Facture;;10/05/2013;182;D;5;A;1947;42,41;48,586587;-3,833896;Vente;Logement;29200;29;38 Avenue de la RÇpublique 29600 Morlaix;0,73
3CL - DPE;V2012;02/05/2013;0;N;0;N;1900;110;49,702895;0,449642;Location;Maison Individuelle;76068;76;46 Route de la VallÇe 76110 Bec-de-Mortagne;0,95
FACTURE - DPE;V2012;02/05/2013;218,37;D;4,19;A;1948;135;47,74224;1,335955;Vente;Maison Individuelle;41130;41;Chemin des Entrees 41500 Maves;0,49
TROIS_CL_DPE;VERSION_2012;26/04/2013;250,56;E;13,42;C;1985;100;;;Vente;Maison Individuelle;49007;49;;0
MÇthode 3CL;3CL-DPE, version 1.3;29/05/2013;525;G;79;F;1948;107,28;;;Vente;Maison Individuelle;19100;19;;0
3CL - DPE;V2012;14/05/2013;159;D;32;D;1991;182,5;47,736454;7,281388;Location;Maison Individuelle;68218;68;20 Impasse Saint-Hubert 68790 Morschwiller-le-Bas;0,96
MÇthode 3CL;3CL-DPE, version 1.3;19/04/2013;192;D;44;E;1978;135;;;Vente;Maison Individuelle;69340;69;;0
FACTURE;VERSION_2012;29/05/2013;0;A;0;A;1900;74,21;46,232213;2,086047;Vente;Maison Individuelle;23023;23;1 la Garenne 23140 Blaudeix;0,32
MÇthode 3CL;3CL-DPE, version 1.3;23/04/2013;117;C;18;C;2006;67,82;;;Location;Logement;91300;91;;0
3CL - DPE;V2012;16/05/2013;201,51;D;9,5;B;1974;68,4;43,788498;1,669436;Location;Maison Individuelle;81164;81;Grand Rue 81800 MÇzens;0,95
MÇthode Facture;;07/05/2013;329;E;10;B;1947;7,83;50,3157429;3,4279809;Vente;Logement;94140;94;Rue Paul Vaillant-Couturier (Pont) Haulchin;0,74
FACTURE;VERSION_2012;27/04/2013;224,5;D;52,53;E;1974;61,5;50,676662;3,163921;Vente;Logement;59512;59;229 Avenue le Notre 59100 Roubaix;0,96
MÇthode 3CL;3CL-DPE, version 1.3;25/04/2013;175;D;52;E;1948;137;;;Vente;Maison Individuelle;50700;50;;0
MÇthode Facture;;12/05/2013;233;E;54;E;1947;41,68;;;Vente;Logement;25000;25;;0
MÇthode 3CL;3CL-DPE, version 1.3;24/05/2013;115;C;4;A;2006;187;;;Vente;Maison Individuelle;82290;82;;0
FACTURE;VERSION_2012;03/05/2013;0;A;0;A;1945;66;50,433396;2,758516;Location;Maison Individuelle;62510;62;35 Rue Benjamin Franklin 62800 LiÇvin;0,61
3CL - DPE;V2012;17/05/2013;231;E;13;C;1985;135;47,181453;3,335714;Vente;Maison Individuelle;58218;58;9 Route de Saint-Bonnot 58700 PrÇmery;0,95
3CL - DPE;V2012;18/04/2013;175,4;D;41,04;E;1973;52,97;44,867092;-0,602548;Vente;Logement;33069;33;36 Avenue LÇon Blum 33110 Le Bouscat;0,97
MÇthode 3CL;3CL-DPE, version 1.3;04/06/2013;165;D;7;B;2006;88,1;;;Vente;Maison Individuelle;20290;2B;;0
MÇthode 3CL;3CL-DPE, version 1.3;07/05/2013;255;E;59;F;1978;60;;;Location;Logement;26200;26;;0
MÇthode Facture;;03/05/2013;259;E;3;A;1947;97;;;Vente;Maison Individuelle;43420;43;;0
3CL - DPE;V2012;24/04/2013;146,1;C;34,19;D;1977;82,96;47,756971;-3,374537;Vente;Logement;56121;56;26b Rue de Calvin 56100 Lorient;0,82
MÇthode 3CL;3CL-DPE, version 1.3;22/05/2013;221;D;32;D;1978;176;;;Vente;Maison Individuelle;10190;10;;0
3CL - DPE;V2012;19/04/2013;213,58;D;6,95;B;1900;101;42,566212;2,320692;Vente;Maison Individuelle;66193;66;4 Rue du Presbytäre 66360 Serdinya;0,79
FACTURE - DPE;V2012;07/05/2013;542,33;G;15,67;C;1948;66;47,130093;0,321089;Vente;Maison Individuelle;37004;37;3 Rue de la Bruyäre 37500 AnchÇ;0,94
MÇthode 3CL;3CL-DPE, version 1.3;09/05/2013;216;D;50;E;1978;56;;;Location;Logement;07250;07;;0
MÇthode 3CL;3CL-DPE, version 1.3;19/05/2013;374;F;19;C;1983;31,99;;;Vente;Logement;05470;05;;0
3CL - DPE;V2012;05/04/2013;230,67;D;6,81;B;1900;84,76;;;Vente;Logement;83008;83;;0
3CL - DPE;V2012;25/04/2013;508,17;G;27,44;D;1990;20,31;48,768936;2,067615;Vente;Logement;78297;78;5 Route de Troux 78280 Guyancourt;0,79
3CL - DPE;V2012;18/04/2013;365,61;F;21,39;D;1982;83,36;43,612175;4,015309;Vente;Maison Individuelle;34154;34;422 Rue Anatole France 34130 Mauguio;0,96
MÇthode 3CL;3CL-DPE, version 1.3;10/05/2013;88;B;2;A;2006;155;;;Location;Maison Individuelle;47150;47;;0
3CL - DPE;V2012;15/05/2013;287,94;E;59,37;F;1900;64;46,378974;2,519565;Vente;Maison Individuelle;03101;03;30 Rue Louis Ganne 03410 DomÇrat;0,4
MÇthode 3CL;3CL-DPE, version 1.3;22/05/2013;256;E;11;C;2006;46,48;;;Vente;Logement;20135;2A;;0
MÇthode 3CL;3CL-DPE, version 1.3;03/05/2013;159;D;6;B;1948;102,5;;;Location;Maison Individuelle;84370;84;;0
MÇthode Facture;;21/05/2013;383;F;77;F;1947;95;;;Vente;Maison Individuelle;08000;08;;0
TROIS_CL_DPE;VERSION_2012;03/05/2013;271,6;E;5,14;A;1986;86,18;47,052864;-0,059962;Vente;Maison Individuelle;86022;86;Rue de la Tour 86120 Berrie;0,36
MÇthode Facture;;24/05/2013;236;E;71;F;1947;115;;;Vente;Maison Individuelle;12580;12;;0
3CL - DPE;V2012;25/04/2013;255,24;E;12,77;C;1950;45,64;43,299465;5,398683;Vente;Logement;13055;13;1 Rue Roussel Doria 13004 Marseille;0,97
MÇthode 3CL;3CL-DPE, version 1.3;15/05/2013;343;F;64;F;1978;96,35;45,651395;6,373417;Location;Maison Individuelle;73130;73;106 Chemin de la plaine 73200 Grignon;0,3
3CL - DPE;V2012;14/05/2013;349,22;F;72,24;F;1974;76;49,246243;4,048677;Vente;Maison Individuelle;51454;51;3 rue GÇrard Philipe 51100 Reims;0,93
FACTURE;VERSION_2012;25/04/2013;0;A;0;A;1957;36,6;48,812197;2,274137;Vente;Logement;92023;92;Rue HÇbert 92140 Clamart;0,97
MÇthode 3CL;3CL-DPE, version 1.3;02/05/2013;103;C;1;A;2006;88,3;;;Vente;Maison Individuelle;65000;65;;0
MÇthode 3CL;3CL-DPE, version 1.3;16/04/2013;176;D;41;E;1948;95,96;;;Location;Maison Individuelle;31400;31;;0
MÇthode 3CL;3CL-DPE, version 1.3;29/01/2013;191;D;57;F;1948;127;45,352759;4,991225;Vente;Maison Individuelle;38290;38;Grande Rue 38270 Pact;0,35
3CL - DPE;V2012;07/06/2013;402,11;F;14,44;C;1983;105,5;;;Vente;Maison Individuelle;48004;48;;0
MÇthode 3CL;3CL-DPE, version 1.3;02/05/2013;105;C;1;A;2006;98,8;;;Vente;Maison Individuelle;65000;65;;0
3CL - DPE;V2012;18/04/2013;292,04;E;12,16;C;2006;28,79;46,303075;6,442862;Location;Logement;74210;74;153 Rue des frasses 74550 Perrignier;0,95
MÇthode Facture;;27/05/2013;166;D;45;E;1947;51;;;Location;Maison Individuelle;46400;46;;0
MÇthode 3CL;3CL-DPE, version 1.3;11/05/2013;304;E;91;G;1948;87,75;;;Vente;Maison Individuelle;02000;02;;0
MÇthode 3CL;3CL-DPE, version 1.3;03/05/2013;222;D;10;B;1989;99,6;;;Vente;Maison Individuelle;38270;38;;0
MÇthode 3CL;3CL-DPE, version 1.3;25/04/2013;175;D;52;E;1948;137;;;Vente;Maison Individuelle;50700;50;;0
3CL - DPE;V2012;16/05/2013;194,03;D;9,23;B;1974;74,75;43,788498;1,669436;Location;Maison Individuelle;81164;81;Grand Rue 81800 MÇzens;0,95
3CL - DPE;V2012;17/04/2013;188,6;D;7,05;B;1996;42,5;43,121606;5,809236;Vente;Logement;83123;83;80 Boulevard Joseph Audiffren 83110 Sanary-sur-Mer;0,78
FACTURE - DPE;V2012;16/05/2013;274,37;E;64,2;F;1948;75;46,557009;3,312767;Location;Maison Individuelle;03190;03;34 Rue du Torpilleur Sirocco 03000 Moulins;0,96
FACTURE;VERSION_2012;15/05/2013;0;A;0;A;1947;103;;;Vente;Maison Individuelle;36004;36;;0
MÇthode 3CL;3CL-DPE, version 1.3;10/05/2013;203;D;11;C;2006;118,55;;;Location;Maison Individuelle;47150;47;;0
MÇthode 3CL;3CL-DPE, version 1.3;02/05/2013;484;G;42;E;1948;90;;;Vente;Maison Individuelle;44350;44;;0
MÇthode Facture;;25/05/2013;208;D;47;E;1947;166;;;Vente;Maison Individuelle;82340;82;;0
TROIS_CL_DPE;VERSION_2012;24/04/2013;330,82;E;18,57;C;1982;85;;;Vente;Maison Individuelle;95088;95;;0
MÇthode 3CL;3CL-DPE, version 1.3;30/05/2013;424;F;5;A;1975;179,35;;;Vente;Maison Individuelle;19410;19;;0
MÇthode 3CL;3CL-DPE, version 1.3;03/05/2013;237;E;42;E;1948;120;;;Vente;Maison Individuelle;84170;84;;0
MÇthode 3CL;3CL-DPE, version 1.3;06/05/2013;160;D;7;B;1989;138;48,949155;7,7644;Vente;Maison Individuelle;67160;67;Route de Woerth 67360 G?rsdorf;0,33
MÇthode 3CL;3CL-DPE, version 1.3;15/05/2013;339;F;12;C;1989;82;45,671448;5,90387;Vente;Maison Individuelle;73300;73;Rue pierre favre 73100 Tresserve;0,36
3CL - DPE;V2012;26/04/2013;296,38;E;62,92;F;1970;47;;;Vente;Maison Individuelle;11302;11;;0
FACTURE - DPE;V2012;06/05/2013;366,78;F;81,52;G;1948;57,48;47,982425;1,34236;Vente;Maison Individuelle;28150;28;9 Rue de Guerets 28220 Cloyes-les-Trois-Riviäres;0,8
3CL - DPE;V2012;04/06/2013;132,53;C;7,47;B;2005;134;;;Vente;Maison Individuelle;20087;2B;;0
FACTURE;VERSION_2012;02/05/2013;0;A;0;A;1920;55,4;;;Vente;Maison Individuelle;87024;87;;0
MÇthode 3CL;3CL-DPE, version 1.3;10/05/2013;141;C;33;D;1948;81,25;48,575282;-3,81986;Vente;Logement;29200;29;Place Rene Cassin 29600 Morlaix;0,35
FACTURE;VERSION_2012;03/05/2013;0;A;0;A;1900;70;49,299613;-0,319903;Vente;Maison Individuelle;14365;14;9 Rue du Chateau d'Eau 14780 Lion-sur-Mer;0,95
FACTURE;VERSION_2012;29/05/2013;0;A;0;A;1947;40,72;45,977927;2,097821;Vente;Maison Individuelle;23007;23;le Cheix 23480 Ars;0,36
3CL - DPE;V2012;18/05/2013;307,57;E;5,36;A;1947;106;47,700669;6,937323;Vente;Maison Individuelle;90003;90;4 Route de Bourg sous Chatelet 90170 Anjoutey;0,51
3CL - DPE;V2012;19/04/2013;138,79;C;15,44;C;1982;74,65;42,727835;2,938486;Location;Maison Individuelle;66021;66;5 Rue de la Cote Vermeille 66430 Bompas;0,96
MÇthode Facture;;20/04/2013;206;D;34;D;1947;70;49,8404533;3,298055;Vente;Maison Individuelle;59840;59;Rue du GÇnÇral Leclerc (Pont) Saint-Quentin;0,71
TROIS_CL_DPE;VERSION_2012;24/04/2013;386,12;F;90,35;G;1974;112;;;Vente;Maison Individuelle;35013;35;;0
3CL - DPE;V2012;16/05/2013;0;N;0;N;1947;123;47,336541;3,06628;Vente;Maison Individuelle;58281;58;48 Rue Saint Symphorien 58150 Suilly-la-Tour;0,95
MÇthode 3CL;3CL-DPE, version 1.3;20/05/2013;206;D;10;B;1950;98;;;Vente;Maison Individuelle;55600;55;;0
3CL - DPE;V2012;30/04/2013;308,97;E;15,31;C;1970;44,97;46,07135;-1,087551;Location;Maison Individuelle;17094;17;29 Rue de Barbezieux 17340 ChÉtelaillon-Plage;0,96
3CL - DPE;V2012;14/05/2013;219;D;51;E;1948;116;47,243793;5,225809;Vente;Maison Individuelle;21292;21;2 Rue de Labergement 21110 Genlis;0,96
TROIS_CL_DPE;VERSION_2012;30/04/2013;203,7;D;9,36;B;2001;80,54;48,989681;1,165488;Vente;Maison Individuelle;27017;27;3 Place des Noisetiers 27930 Angerville-la-Campagne;0,52
MÇthode Facture;;19/05/2013;475;G;15;C;1947;140;;;Vente;Maison Individuelle;32240;32;;0
MÇthode 3CL;3CL-DPE, version 1.3;07/05/2013;225;D;12;C;1989;63,77;;;Vente;Maison Individuelle;85700;85;;0
MÇthode 3CL;3CL-DPE, version 1.3;23/05/2013;358;F;107;G;1948;82;;;Vente;Maison Individuelle;10450;10;;0
MÇthode Facture;;27/05/2013;0;N;0;N;1947;43;44,397469;1,946908;Vente;Maison Individuelle;12140;12;rue du commandeur 12200 Martiel;0,34
MÇthode 3CL;3CL-DPE, version 1.3;03/05/2013;218;D;9;B;1983;85;;;Vente;Maison Individuelle;40420;40;;0
3CL - DPE;V2012;06/05/2013;354,71;F;106,41;G;1973;66,4;48,472231;-2,271006;Vente;Maison Individuelle;22014;22;la Croix 22130 Bourseul;0,94
MÇthode 3CL;3CL-DPE, version 1.3;06/05/2013;258;E;13;C;1983;131,5;;;Vente;Maison Individuelle;42740;42;;0
MÇthode Facture;;08/05/2013;197;D;46;E;1;75;;;Location;Logement;57000;57;;0
MÇthode Facture;;15/05/2013;0;N;0;N;1947;59;47,94527;3,595183;Vente;Maison Individuelle;89200;89;Grande Rue a Chichy 89250 Hauterive;0,42
MÇthode 3CL;3CL-DPE, version 1.3;19/04/2013;527;G;33;D;1975;123,37;;;Vente;Maison Individuelle;69690;69;;0
MÇthode 3CL;3CL-DPE, version 1.3;29/04/2013;76;B;3;A;2012;110;;;Location;Maison Individuelle;16292;16;;0
MÇthode Facture;;08/05/2013;139;C;32;D;1947;61;48,194001;6,283976;Vente;Logement;88210;88;Rue du Ruisseau 88270 Gorhey;0,32
MÇthode Facture;;26/04/2013;145;C;24;D;1947;260;;;Vente;Maison Individuelle;01400;01;;0
FACTURE;VERSION_2012;08/05/2013;144,42;C;4,7;A;1870;30;;;Vente;Maison Individuelle;45052;45;;0
MÇthode Facture;;07/05/2013;0;N;0;N;1947;40;;;Vente;Maison Individuelle;71430;71;;0
MÇthode 3CL;3CL-DPE, version 1.3;22/05/2013;221;D;9;B;2006;46,57;;;Vente;Logement;20135;2A;;0
MÇthode Facture;;21/05/2013;0;N;0;N;1947;85,4;;;Vente;Maison Individuelle;08000;08;;0
3CL - DPE;V2012;24/04/2013;360,07;F;19,73;C;1982;50;43,632768;3,846438;Vente;Logement;34172;34;35 Place Alphonse Laveran 34090 Montpellier;0,97
MÇthode 3CL;3CL-DPE, version 1.3;22/04/2013;281;E;65;F;1948;112;49,938675;2,719954;Vente;Maison Individuelle;80136;80;4 Rue Pierre Curie 80340 Bray-sur-Somme;0,64
MÇthode 3CL;3CL-DPE, version 1.3;27/04/2013;161;D;8;B;1989;142;43,234452;-1,096144;Vente;Maison Individuelle;64314;64;Quartier Xaharra 64120 Larceveau-Arros-Cibits;0,42
3CL - DPE;V2012;15/05/2013;219,79;D;9,43;B;2006;50,8;45,785694;3,07897;Location;Logement;63113;63;68 boulevard Lavoisier 63000 Clermont-Ferrand;0,98
MÇthode 3CL;3CL-DPE, version 1.3;03/05/2013;278;E;65;F;1948;147,7;;;Vente;Maison Individuelle;86300;86;;0
FACTURE - DPE;V2012;14/05/2013;384,85;F;90,05;G;1948;20;49,310055;3,67988;Vente;Logement;51250;51;2 Rue Hildevert Lefävre 51170 Fismes;0,62
MÇthode 3CL;3CL-DPE, version 1.3;22/05/2013;279;E;65;F;1948;66,15;47,2097242;-1,4851775;Location;BÉtiment collectif Ö usage principal d'habitation;09120;09;Rue du GÇnÇral de Gaulle (Pont) Saint-SÇbastien-sur-Loire;0,73
3CL - DPE;V2012;19/04/2013;298,39;E;69,82;F;1973;99,95;46,988563;-0,222443;Vente;Maison Individuelle;79329;79;9 Impasse La Fontaine (Thouars) 79100 Thouars;0,68
3CL - DPE;V2012;21/05/2013;526,2;G;126,91;G;1974;165;44,723877;3,846013;Vente;Maison Individuelle;48080;48;la Tuilerie 48300 Langogne;0,94
MÇthode 3CL;3CL-DPE, version 1.3;04/05/2013;362;F;20;C;1948;68,3;48,770423;-0,242291;Vente;Maison Individuelle;61340;61;Rue du Buisson 61210 Putanges-le-Lac;0,3
TROIS_CL_DPE;VERSION_2012;02/05/2013;313,36;E;64,12;F;1955;51,53;49,568554;2,382959;Vente;Maison Individuelle;60017;60;26 Rue Verte 60120 Ansauvillers;0,42
MÇthode 3CL;3CL-DPE, version 1.3;14/05/2013;385;F;20;C;1989;52;;;Vente;Logement;68000;68;;0
3CL - DPE;V2012;06/05/2013;364,42;F;11,86;C;1947;103;47,079388;2,391894;Vente;Maison Individuelle;18033;18;1 Rue des Cerisiers 18000 Bourges;0,97
MÇthode 3CL;3CL-DPE, version 1.3;06/05/2013;245;E;11;C;1948;45,54;;;Vente;Logement;30200;30;;0
MÇthode Facture;;17/04/2013;389;F;80;F;1947;83,42;;;Location;Logement;06700;06;;0
MÇthode Facture;;20/04/2013;497;G;100;G;1947;97;49,074172;1,667926;Vente;Maison Individuelle;78410;78;rue de leau 78840 Moisson;0,3
MÇthode 3CL;3CL-DPE, version 1.3;09/05/2013;113;C;5;A;2006;165;;;Vente;Maison Individuelle;07350;07;;0
3CL - DPE;V2012;25/05/2013;429;F;21;D;1973;54;;;Vente;Maison Individuelle;04065;04;;0
MÇthode 3CL;3CL-DPE, version 1.3;24/04/2013;497;G;30;D;1948;42,5;;;Location;Logement;91370;91;;0
3CL - DPE;V2012;28/05/2013;215,4;D;64,62;F;1947;108;47,631361;6,647928;Vente;Maison Individuelle;70064;70;14 Grande Rue 70400 Belverne;0,35
3CL - DPE;V2012;29/04/2013;0;N;0;N;1947;49,41;45,337158;3,33628;Location;Maison Individuelle;43038;43;Rue du Lavoir 43360 Bournoncle-Saint-Pierre;0,81
TROIS_CL_DPE;VERSION_2012;26/04/2013;250,56;E;13,42;C;1985;100;;;Vente;Maison Individuelle;49007;49;;0
TROIS_CL_DPE;VERSION_2012;03/05/2013;296,12;E;66,65;F;1981;94;47,398175;1,825256;Vente;Maison Individuelle;41118;41;Route de Romorantin 41200 Loreux;0,33
3CL - DPE;V2012;26/04/2013;191,08;D;44,71;E;1950;64,74;47,754618;-3,362668;Vente;Logement;56121;56;26 Cours Louis de Chazelles 56100 Lorient;0,76
MÇthode Facture;;13/05/2013;0;N;0;N;1947;94;;;Vente;Maison Individuelle;24700;24;;0
TROIS_CL_DPE;VERSION_2012;03/05/2013;262,43;E;78,72;F;1963;106;;;Vente;Maison Individuelle;62391;62;;0
FACTURE - DPE;V2012;18/05/2013;279,71;E;51,05;E;1948;94,62;47,097668;5,500838;Vente;Maison Individuelle;39198;39;6 Rue Marie et Pierre Curie 39100 Dole;0,65
3cl;V2012;06/06/2013;430;F;22;D;1982;80,2;45,210244;2,339442;Vente;Maison Individuelle;15120;15;citÇ de l'implagne 15200 Mauriac;0,71
3CL - DPE;V2012;07/05/2013;165,77;D;37,36;E;1998;191;44,58278;4,730491;Vente;Maison Individuelle;26008;26;Chemin de la Croix 26200 Ancìne;0,46
FACTURE - DPE;V2012;08/05/2013;209,6;D;49,05;E;1974;54,5;48,759759;2,395725;Vente;Logement;94073;94;4 AllÇe des Cerisiers 94320 Thiais;0,72
3CL - DPE;V2012;18/04/2013;192,43;D;45,03;E;1975;56,77;44,852004;-0,622409;Vente;Logement;33063;33;36 Rue Poujeau 33200 Bordeaux;0,98
FACTURE - DPE;V2012;25/04/2013;346,87;F;133,2;G;1974;43,12;48,834183;2,401161;Vente;Logement;75112;75;13 Rue Claude Decaen 75012 Paris;0,98
MÇthode 3CL;3CL-DPE, version 1.3;06/05/2013;165;D;51;E;1975;73,9;;;Vente;Maison Individuelle;53400;53;;0
MÇthode 3CL;3CL-DPE, version 1.3;20/05/2013;315;E;17;C;2001;43,84;;;Vente;Logement;05290;05;;0
FACTURE;VERSION_2012;02/05/2013;262,42;E;44,28;E;1910;140;;;Vente;Maison Individuelle;76046;76;;0
MÇthode 3CL;3CL-DPE, version 1.3;03/05/2013;215;D;50;E;1975;53,34;;;Vente;Logement;93800;93;;0
MÇthode 3CL;3CL-DPE, version 1.3;07/05/2013;326;E;9;B;1975;72,14;;;Vente;Maison Individuelle;72390;72;;0
3CL - DPE;V2012;24/04/2013;0;N;0;N;1900;35,88;43,286268;5,35842;Vente;Logement;13055;13;100 Rue Charras 13007 Marseille;0,97
MÇthode 3CL;3CL-DPE, version 1.3;16/04/2013;152;D;7;B;2006;62,58;45,7780251;4,8441857;Location;Logement;31300;31;Avenue de Grande-Bretagne (Pont) Lyon;0,71
TROIS_CL_DPE;VERSION_2012;27/04/2013;276,63;E;12,81;C;2002;87;48,873495;2,903042;Vente;Maison Individuelle;77047;77;Chemin de Rebais 77580 Bouleurs;0,37
MÇthode Facture;;12/05/2013;233;E;54;E;1947;41,68;;;Vente;Logement;25000;25;;0
MÇthode Facture;;19/05/2013;0;N;0;N;1947;21;48,221586;4,885353;Vente;Logement;52100;52;Rue du Parterre 52330 Colombey les Deux êglises;0,32
FACTURE - DPE;V2012;07/05/2013;328,88;E;10,09;B;1948;106;47,223293;0,580269;Vente;Maison Individuelle;37257;37;6 Place de la Mairie 37260 Thilouze;0,95
3CL - DPE;v2012;14/05/2013;284;E;13;C;2007;40;48,698872;6,190792;Vente;Logement;54395;54;12 Rue Guilbert de PixÇrÇcourt 54000 Nancy;0,97
FACTURE;VERSION_2012;25/04/2013;0;A;0;A;1957;44;48,812458;2,273184;Vente;Logement;92023;92;18 Rue HÇbert 92140 Clamart;0,97
MÇthode Facture;;26/04/2013;420;F;13;C;1947;70;;;Vente;Maison Individuelle;35460;35;;0
MÇthode 3CL;3CL-DPE, version 1.3;03/05/2013;288;E;67;F;1948;85;;;Vente;Maison Individuelle;62700;62;;0
MÇthode 3CL;3CL-DPE, version 1.3;06/06/2013;103;C;6;B;2006;316;;;Vente;Maison Individuelle;20220;2B;;0
3CL - DPE;V2012;26/04/2013;324,79;E;16,84;C;1995;88;;;Vente;Maison Individuelle;01063;01;;0
3CL - DPE;V2012;26/05/2013;214,18;D;32,9;D;1988;86,72;;;Vente;Maison Individuelle;04213;04;;0
MÇthode Facture;;10/05/2013;0;N;0;N;1947;59;44,0766928;-1,1676989;Location;Logement;42660;42;Place de l'êglise (Parc) MÇzos;0,71
MÇthode 3CL;3CL-DPE, version 1.3;24/05/2013;166;D;45;E;1989;80,5;;;Vente;Maison Individuelle;05600;05;;0
MÇthode 3CL;3CL-DPE, version 1.3;24/04/2013;265;E;62;F;1974;77,25;48,795616;2,277926;Location;Logement;75020;75;11 Rue du Plateau 92320 ChÉtillon;0,45
TROIS_CL_DPE;VERSION_2012;03/05/2013;141,11;C;33,02;D;1998;67,1;49,165617;-0,345616;Vente;Logement;14118;14;12 Avenue du 43äme RÇgiment d?Artillerie 14000 Caen;0,66
MÇthode 3CL;3CL-DPE, version 1.3;17/04/2013;119;C;6;B;2004;116;;;Location;Maison Individuelle;83470;83;;0
MÇthode 3CL;3CL-DPE, version 1.3;27/04/2013;273;E;81;G;1948;82;47,252569;-0,09309;Vente;Logement;49328;49;34 Rue du Clos Pointu 49400 Saumur;0,97
TROIS_CL_DPE;VERSION_2012;13/05/2013;212,29;D;24,03;D;1988;180;;;Location;Maison Individuelle;07077;07;;0
MÇthode 3CL;3CL-DPE, version 1.3;03/05/2013;315;E;17;C;1948;85;;;Location;Maison Individuelle;40270;40;;0
FACTURE;VERSION_2012;03/05/2013;0;A;0;A;1900;112;;;Vente;Maison Individuelle;41083;41;;0
3CL - DPE;V2012;15/05/2013;227,52;D;9,97;B;2006;50,8;45,785694;3,07897;Location;Logement;63113;63;68 boulevard Lavoisier 63000 Clermont-Ferrand;0,98
MÇthode 3CL;3CL-DPE, version 1.3;20/05/2013;425;F;105;G;1948;93,43;47,143096;6,274124;Vente;Maison Individuelle;25610;39;Rue des Tilles 25580 êtalans;0,47
MÇthode 3CL;3CL-DPE, version 1.3;17/04/2013;327;E;18;C;1983;31,5;;;Vente;Logement;31400;31;;0
3CL - DPE;V2012;08/05/2013;265,39;E;35,95;D;1997;167;48,19912;6,709551;Vente;Maison Individuelle;88261;88;578 Rue de Bruyäres 88600 Laval-sur-Vologne;0,95
