"N°DPE","Date_réception_DPE","Date_établissement_DPE","Date_visite_diagnostiqueur","Modèle_DPE","N°_DPE_remplacé","Date_fin_validité_DPE","Version_DPE","N°_DPE_immeuble_associé","Méthode_du_DPE","N°_immatriculation_copropriété","Invariant_fiscal_logement","Etiquette_DPE","Etiquette_GES","Conso_kWhep/m²/an","Emission_GES_kgCO2/m²/an","Année_construction","Catégorie_ERP","Période_construction","Secteur_activité","Nombre_occupant","Surface_(SHON)","Surface_utile","Type_énergie_principale_chauffage","Adresse_brute","Nom__commune_(BAN)","Code_INSEE_(BAN)","N°_voie_(BAN)","Identifiant__BAN","Adresse_(BAN)","Code_postal_(BAN)","Score_BAN","Nom__rue_(BAN)","Coordonnée_cartographique_X_(BAN)","Coordonnée_cartographique_Y_(BAN)","Code_postal_(brut)","N°_étage_appartement","Nom_résidence","Complément_d'adresse_bâtiment","Cage_d'escalier","Complément_d'adresse_logement","Statut_géocodage","Nom__commune_(Brut)","N°_département_(BAN)","N°_région_(BAN)","Conso_é_finale_énergie_n°1","Conso_é_primaire_énergie_n°1","Type_énergie_n°1","Type_usage_énergie_n°1","Frais_annuel_énergie_n°1","Année_relève_conso_énergie_n°1","Conso_é_finale_énergie_n°2","Conso_é_primaire_énergie_n°2","Type_énergie_n°2","Type_usage_énergie_n°2","Frais_annuel_énergie_n°2","Année_relève_conso_énergie_n°2","Conso_é_finale_énergie_n°3","Conso_é_primaire_énergie_n°3","Type_énergie_n°3","Type_usage_énergie_n°3","Frais_annuel_énergie_n°3","Année_relève_conso_énergie_n°3"
"2475T0206611E","2024-01-18","2024-01-18","2023-08-13","DPE 2006 tertiaire et ERP","2475T0206609C","2034-01-17",2.3,,"dpe tertiaire bâtiment neuf",,,"D","E",219,37.4,2025,"1ère Catégorie","après 2021","J : Structures d’accueil pour personnes âgées ou personnes handicapées",,,51242.1,"Gaz naturel","Place du Maréchal de Lattre de Tassigny","Paris","75116",,"75116_6040","Place du Maréchal de Lattre de Tassigny 75016 Paris","75016",0.97,"Place du Maréchal de Lattre de Tassigny",646800.66,6863768.89,75016,,,,,,"adresse géocodée ban à l'adresse","Paris","75","11",7902039.6,7902039.6,"Gaz naturel","Chauffage",487489.4,,710761.3,1634750.9,"Électricité","Eclairage",113664.3,,577774.6,1328881.5,"Électricité","auxiliaires et ventilation",92397.2,
"2490T0226633V","2024-01-22","2024-01-21","2024-01-21","DPE 2006 tertiaire et ERP",,"2034-01-20",2.3,,"dpe tertiaire vierge dans un bâtiment de logement",,,,,,,,"5ème Catégorie","avant 1948","J : Structures d’accueil pour personnes âgées ou personnes handicapées",0,22.7,100,,"38 Faubourg de Montbéliard","Belfort","90010","38","90010_2800_00038","38 Faubourg de Montbéliard 90000 Belfort","90000",0.7,"Faubourg de Montbéliard",989534.35,6733064.6,90000,0,,"24/IMO/0468",,"Etage RDC","adresse géocodée ban à l'adresse","BELFORT","90","27",,,,,,,,,,,,,,,,,,
"2413T0241524P","2024-01-22","2024-01-21","2023-12-15","DPE 2006 tertiaire et ERP",,"2034-01-20",2.3,,"dpe tertiaire facture dans un bâtiment de logement","AE2165645",,"E","B",355.5,9.9,,"5ème Catégorie","avant 1948","J : Structures d’accueil pour personnes âgées ou personnes handicapées",0,42.3,100,,"16 rue Beauvau","Marseille","13201","16","13201_0949_00016","16 Rue beauvau 13001 Marseille","13001",0.63,"Rue beauvau",892851.72,6246799.89,13001,0,,"2312-OC-0288_p01",,"RdC","adresse géocodée ban à l'adresse","MARSEILLE 01","13","93",7195.5,16549.7,"Électricité","périmètre de l'usage inconnu",2667,2022,,,,,,,,,,,,
"2440T0226056S","2024-01-22","2024-01-21","2024-01-21","DPE 2006 tertiaire et ERP",,"2034-01-20",2.3,,"dpe tertiaire vierge dans un bâtiment de logement",,,,,,,,"5ème Catégorie","avant 1948","J : Structures d’accueil pour personnes âgées ou personnes handicapées",0,59.2,100,,"5 RUE LEON DES LANDES","Mont-de-Marsan","40192","5","40192_1333_00005","5 Rue Léon des Landes 40000 Mont-de-Marsan","40000",0.63,"Rue Léon des Landes",418855.16,6316168.17,40000,0,,"24-01-SNEXI-003",,"Etage : RDC","adresse géocodée ban à l'adresse","MONT DE MARSAN","40","75",,,,,,,,,,,,,,,,,,
"2429T0233087S","2024-01-22","2024-01-21","2024-01-21","DPE 2006 tertiaire et ERP",,"2034-01-20",2.3,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","1948-1974","J : Structures d’accueil pour personnes âgées ou personnes handicapées",0,852.7,100,,"9 RUE EUGENE JAOUEN","Ploudaniel","29179","9","29179_0117_00009","9 Rue Eugène Jaouen 29260 Ploudaniel","29260",0.49,"Rue Eugène Jaouen",161154.61,6851087.47,29260,0,,"MA2309164193",,,"adresse géocodée ban à l'adresse","PLOUDANIEL","29","53",,,,,,,,,,,,,,,,,,
"2463T0200722F","2024-01-18","2024-01-17","2024-01-17","DPE 2006 tertiaire et ERP",,"2034-01-16",2.3,,"dpe tertiaire facture",,,"D","B",263.5,7.3,,"5ème Catégorie","avant 1948","J : Structures d’accueil pour personnes âgées ou personnes handicapées",0,105,100,"Électricité","29 RUE SAINT HEREM","Clermont-Ferrand","63113","29","63113_4090_00029","29 rue Saint-Herem 63000 Clermont-Ferrand","63000",0.68,"rue Saint-Herem",706491.07,6520071.07,63000,0,,"C-DI63-2023-30-178713- BOSQ",,"LOCAL COMMERCIAL - BOSCQ","adresse géocodée ban à l'adresse","CLERMONT FERRAND","63","84",13230,30429,"Électricité","Chauffage",3838,2024,,,,,,,,,,,,
"2456T0211717V","2024-01-19","2024-01-18","2024-01-18","DPE 2006 tertiaire et ERP","2456T0211401R","2034-01-17",2.3,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","avant 1948","J : Structures d’accueil pour personnes âgées ou personnes handicapées",0,23.3,100,,"Place Henri Thébault
1er étage","Mauron","56127",,"56127_0456","Place Henri Thebault 56430 Mauron","56430",0.48,"Place Henri Thebault",306828.83,6789086.26,56430,0,,"24-01-22051",,,"adresse géocodée ban à l'adresse","MAURON","56","53",,,,,,,,,,,,,,,,,,
"2460T0240839B","2024-01-22","2024-01-21","2024-01-21","DPE 2006 tertiaire et ERP",,"2034-01-20",2.3,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","1948-1974","J : Structures d’accueil pour personnes âgées ou personnes handicapées",0,19.6,100,,"INSTITUT MEDICAL- 32 RUE DE PARIS - LE NOBLE AGE
Chambre","Breteuil","60104","32","60104_0259_00032","32 Rue de Paris 60120 Breteuil","60120",0.58,"Rue de Paris",649297.69,6948242.97,60120,0,,"ALE/24/01/0801",,"Etage 1 Chambre 137","adresse géocodée ban à l'adresse","BRETEUIL","60","32",,,,,,,,,,,,,,,,,,
"2451T0167857S","2024-01-16","2024-01-15","2024-01-04","DPE 2006 tertiaire et ERP","2451T0167747M","2034-01-14",2.3,,"dpe tertiaire facture dans un bâtiment de logement",,,"B","B",126.9,28.8,,"5ème Catégorie","2006-2012","J : Structures d’accueil pour personnes âgées ou personnes handicapées",0,21,100,,"24 Chemin des Vignes","Loisy-sur-Marne","51328","24","51328_0064_00024","24 Chemin des Vignes 51300 Loisy-sur-Marne","51300",0.46,"Chemin des Vignes",813305.62,6851369.02,51300,0,,"DIA-EFR02-2401-003",,"Etage : R+2","adresse géocodée ban à l'adresse","LOISY SUR MARNE","51","44",2931.3,2931.3,"Gaz naturel","périmètre de l'usage inconnu",138.2,2023,,,,,,,,,,,,
"2477T0226641Q","2024-01-22","2024-01-21","2024-01-18","DPE 2006 tertiaire et ERP",,"2034-01-20",2.3,,"dpe tertiaire facture",,,"C","A",233.7,6.5,2013,"5ème Catégorie","2013-2021","J : Structures d’accueil pour personnes âgées ou personnes handicapées",50,445,100,,"Chemin rural des meuniers - Batiment : Accueil de jour","Vaux-le-Pénil","77487",,"77487_1078","Chemin des Meuniers 77000 Vaux-le-Pénil","77000",0.51,"Chemin des Meuniers",678173.53,6824213.45,77000,0,,"MA2212197589 - bat acceuil de jour",,,"adresse géocodée ban à l'adresse","VAUX LE PENIL","77","11",49733,114385.9,"Électricité","périmètre de l'usage inconnu",14426,2023,,,,,,,,,,,,
"2475T0178335Q","2024-01-17","2024-01-16","2023-08-13","DPE 2006 tertiaire et ERP",,"2034-01-15",2.3,,"dpe tertiaire bâtiment neuf",,,"E","E",252.7,43.2,2025,"1ère Catégorie","après 2021","J : Structures d’accueil pour personnes âgées ou personnes handicapées",,,50890.6,"Gaz naturel","Place du Maréchal de Lattre de Tassigny","Paris","75116",,"75116_6040","Place du Maréchal de Lattre de Tassigny 75016 Paris","75016",0.97,"Place du Maréchal de Lattre de Tassigny",646800.66,6863768.89,75016,,,,,,"adresse géocodée ban à l'adresse","Paris","75","11",9084905,9084905,"Gaz naturel","Chauffage",560402,,751586,1728647.8,"Électricité","auxiliaires et ventilation",120190.9,,746171.1,1716193.4,"Électricité","Eclairage",119325,
"2484T0179032U","2024-01-17","2024-01-16","2024-01-04","DPE 2006 tertiaire et ERP",,"2034-01-15",2.3,,"dpe tertiaire facture dans un bâtiment de logement",,,"C","A",92.4,2.6,,"5ème Catégorie","avant 1948","J : Structures d’accueil pour personnes âgées ou personnes handicapées",1,30.2,100,"Électricité","197 Cours Gambetta","Le Thor","84132","197","84132_0300_00197","197 Cours Gambetta 84250 Le Thor","84250",0.6,"Cours Gambetta",860063.98,6316324.56,84250,0,,"050124197P",,,"adresse géocodée ban à l'adresse","LE THOR","84","93",1335.7,3072,"Électricité","Chauffage",387.3,2023,,,,,,,,,,,,
"2406T0187183H","2024-01-17","2024-01-16","2024-01-16","DPE 2006 tertiaire et ERP",,"2034-01-15",2.3,,"dpe tertiaire facture",,,"C","B",322.5,17.2,2020,"5ème Catégorie","2013-2021","J : Structures d’accueil pour personnes âgées ou personnes handicapées",77,2595,100,,"75-76 Boulevard du 8 Mai 1945","Saint-André-de-la-Roche","06114",,"06114_0220","Boulevard du 8 Mai 1945 06730 Saint-André-de-la-Roche","06730",0.55,"Boulevard du 8 Mai 1945",1045322.15,6302474.76,6730,0,,"2227287.1",,"EHPAD VALENTINA","adresse géocodée ban à l'adresse","SAINT-ANDRÉ","06","93",348885,802435.5,"Électricité","périmètre de l'usage inconnu",66312.5,2022,118005.4,118005.4,"Gaz naturel","périmètre de l'usage inconnu",4721,2022,,,,,,
"2433T0234446D","2024-01-22","2024-01-21","2024-01-21","DPE 2006 tertiaire et ERP",,"2034-01-20",2.3,,"dpe tertiaire facture",,,"D","B",223.6,6.2,,"5ème Catégorie","avant 1948","J : Structures d’accueil pour personnes âgées ou personnes handicapées",0,70.7,100,,"33 Rue Gambetta
local commercial RDC","Coutras","33138","33","33138_0310_00033","33 Rue Gambetta 33230 Coutras","33230",0.66,"Rue Gambetta",453569.46,6442919.31,33230,0,,"DAB-2024-01-18677-NAL",,,"adresse géocodée ban à l'adresse","COUTRAS","33","75",7558.7,17384.9,"Électricité","périmètre de l'usage inconnu",0.1,2023,,,,,,,,,,,,
"2435T0162517S","2024-01-16","2024-01-15","2024-01-15","DPE 2006 tertiaire et ERP",,"2034-01-14",2.3,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","1948-1974","J : Structures d’accueil pour personnes âgées ou personnes handicapées",0,156,100,,"8 rue Fontaine de Montigné","Vezin-le-Coquet","35353",,"35353_0090","Rue Fontaine de Montigné 35132 Vezin-le-Coquet","35132",0.47,"Rue Fontaine de Montigné",347238.76,6788951.42,35132,0,,"04323/ALLEGRO",,,"adresse géocodée ban à l'adresse","VEZIN LE COQUET","35","53",,,,,,,,,,,,,,,,,,
"2473T0187758Z","2024-01-17","2024-01-16","2024-01-16","DPE 2006 tertiaire et ERP",,"2034-01-15",2.3,,"dpe tertiaire facture",,,"C","B",217.3,28,2009,"5ème Catégorie","2006-2012","J : Structures d’accueil pour personnes âgées ou personnes handicapées",0,1076.4,100,"Gaz naturel","Résidence EHPAD Au Fil du Temps
127 rue de Ceneselli","Entrelacs","73010","127","73010_0020_00127","127 Rue de Ceneselli 73410 Entrelacs","73410",0.51,"Rue de Ceneselli",928657.08,6525161.44,73410,0,,"OPAC732_001_0830_7000_DPEBAT",,,"adresse géocodée ban à l'adresse","ENTRELACS","73","84",130260.1,130260.1,"Gaz naturel","Chauffage",9460.4,2023,55241.7,127055.8,"Électricité","Eclairage",9391,2023,,,,,,
"2435T0238946H","2024-01-22","2024-01-21","2024-01-21","DPE 2006 tertiaire et ERP",,"2034-01-20",2.3,,"dpe tertiaire facture dans un bâtiment de logement",,,"D","B",221.6,6.2,,"5ème Catégorie","1948-1974","J : Structures d’accueil pour personnes âgées ou personnes handicapées",0,77.7,100,,"45 rue Champion de Cicé","Rennes","35238","45","35238_1610_00045","45 Rue Champion de Cicé 35000 Rennes","35000",0.78,"Rue Champion de Cicé",350114.73,6788455.01,35000,0,,"35.2024.01.22.18562",,"Local commercial","adresse géocodée ban à l'adresse","RENNES","35","53",8233,18935.9,"Électricité","périmètre de l'usage inconnu",1482,2021,,,,,,,,,,,,
"2494T0234165R","2024-01-22","2024-01-21","2024-01-21","DPE 2006 tertiaire et ERP",,"2034-01-20",2.3,,"dpe tertiaire facture",,,"C","A",138.6,3.9,,"5ème Catégorie","1948-1974","J : Structures d’accueil pour personnes âgées ou personnes handicapées",0,888,100,"Électricité","13 rue Pierre Sémard","Vitry-sur-Seine","94081","13","94081_7219_00013","13 Rue Pierre Sémard 94400 Vitry-sur-Seine","94400",0.68,"Rue Pierre Sémard",656157.24,6855732.64,94400,0,,"SNCF UT 005321K BAT 008",,,"adresse géocodée ban à l'adresse","VITRY SUR SEINE","94","11",42321,97338.3,"Électricité","Chauffage",12276,2024,16546,38055.8,"Électricité","Bureautique",4799,2024,,,,,,
"2467T0178346T","2024-01-17","2024-01-16","2023-11-23","DPE 2006 tertiaire et ERP",,"2034-01-15",2.3,,"dpe tertiaire facture",,,"C","C",268.4,44.9,2002,"5ème Catégorie","2001-2005","J : Structures d’accueil pour personnes âgées ou personnes handicapées",0,3286,100,,"1, Rue Albert Schweitzer","Marmoutier","67283","1","67283_0501_00001","1 Rue Albert Schweitzer 67440 Marmoutier","67440",0.44,"Rue Albert Schweitzer",1021781.63,6852014.77,67440,0,,"DPEPL_DML_VALD",,"Immeuble","adresse géocodée ban à l'adresse","MARMOUTIER","67","44",680144.1,680144.1,"Gaz naturel","périmètre de l'usage inconnu",58156.4,2023,126056,289928.8,"Électricité","périmètre de l'usage inconnu",30237.3,2023,,,,,,
"2402T0222907D","2024-01-21","2024-01-20","2024-01-14","DPE 2006 tertiaire et ERP",,"2034-01-19",2.3,,"dpe tertiaire facture",,,"D","B",195.2,5.4,,"5ème Catégorie","1948-1974","J : Structures d’accueil pour personnes âgées ou personnes handicapées",0,105,100,,"227 Rue André GODIN","Guise","02361","227","02361_0040_00227","227 Rue André Godin 02120 Guise","02120",0.6,"Rue André Godin",744958.99,6978466.01,2120,0,,"AA/IMO/2935",,,"adresse géocodée ban à l'adresse","GUISE","02","32",9800,22540,"Électricité","Ascenseur(s)",2843,2023,,,,,,,,,,,,
"2494T0171681L","2024-01-16","2024-01-15","2024-01-15","DPE 2006 tertiaire et ERP",,"2034-01-14",2.3,,"dpe tertiaire facture dans un bâtiment de logement",,,"E","B",371,10.3,,"5ème Catégorie","avant 1948","J : Structures d’accueil pour personnes âgées ou personnes handicapées",0,26.8,100,,"10 place de la gare","Sucy-en-Brie","94071","10","94071_0581_00010","10 Place de la Gare 94370 Sucy-en-Brie","94370",0.96,"Place de la Gare",663924.6,6852515.32,94370,0,,"24/3997",,"RDC Local","adresse non géocodée ban car aucune correspondance trouvée","sucy en brie","94","11",4761,10950.3,"Électricité","périmètre de l'usage inconnu",1231,2024,,,,,,,,,,,,
"2477T0226484P","2024-01-22","2024-01-21","2024-01-18","DPE 2006 tertiaire et ERP",,"2034-01-20",2.3,,"dpe tertiaire facture",,,"C","A",233.5,6.5,2013,"5ème Catégorie","2013-2021","J : Structures d’accueil pour personnes âgées ou personnes handicapées",50,636.4,100,,"Chemin rural des meuniers","Vaux-le-Pénil","77487",,"77487_1078","Chemin des Meuniers 77000 Vaux-le-Pénil","77000",0.51,"Chemin des Meuniers",678173.53,6824213.45,77000,0,,"MA2212197589",,"Batiment Services Généraux","adresse géocodée ban à l'adresse","VAUX LE PENIL","77","11",71079.1,163481.8,"Électricité","périmètre de l'usage inconnu",20617.9,2023,,,,,,,,,,,,
"2469T0184210J","2024-01-17","2024-01-16","2023-11-27","DPE 2006 tertiaire et ERP",,"2034-01-15",2.3,,"dpe tertiaire facture dans un bâtiment de logement",,,"G","E",614.6,68.3,,"5ème Catégorie","avant 1948","J : Structures d’accueil pour personnes âgées ou personnes handicapées",0,102.8,100,,"IMMEUBLE 23 RUE ROYALE - 12 QUAI LASSAGNE","Lyon","69381",,"69381_0275","Quai André Lassagne 69001 Lyon","69001",0.6,"Quai André Lassagne",842809.98,6520601.07,69001,0,,"23/ACT/15915",,"LOCAL CO 106 M2 - ETAGE RDC - REF 0121 + 0215","adresse géocodée ban à l'adresse","LYON 01","69","84",17584,40443.2,"Électricité","périmètre de l'usage inconnu",0.1,2023,29059.5,29059.5,"Gaz naturel","périmètre de l'usage inconnu",0,2023,,,,,,
"2418T0206408E","2024-01-18","2024-01-17","2023-12-11","DPE 2006 tertiaire et ERP",,"2034-01-16",2.3,,"dpe tertiaire facture",,,"E","E",335.2,47.9,,"5ème Catégorie","1989-2000","J : Structures d’accueil pour personnes âgées ou personnes handicapées",100,5400,100,,"EHPAD Résidence André Maginot
Route de Bourge","Neuvy-sur-Barangeon","18165",,"18165_0007","Route de Bourges 18330 Neuvy-sur-Barangeon","18330",0.49,"Route de Bourges",644087.77,6690501.4,18330,0,,"0413-18330-EHPAD",,,"adresse géocodée ban à l'adresse","NEUVY SUR BARANGEON","18","24",457741,1052804.3,"Électricité","périmètre de l'usage inconnu",132777,2023,938493,938493,"GPL","périmètre de l'usage inconnu",134251,2022,,,,,,
"2477T0187274N","2024-01-17","2024-01-16","2024-01-16","DPE 2006 tertiaire et ERP","2477T0184984L","2034-01-15",2.3,,"dpe tertiaire facture",,,"E","B",341.3,9.5,,"5ème Catégorie","avant 1948","J : Structures d’accueil pour personnes âgées ou personnes handicapées",0,54,100,"Électricité","25 Route de Montereau","Vaux-le-Pénil","77487","25","77487_1120_00025","25 Route de Montereau 77000 Vaux-le-Pénil","77000",0.53,"Route de Montereau",676292.48,6826705.67,77000,0,,"2024-01-046",,,"adresse géocodée ban à l'adresse","VAUX LE PENIL","77","11",8814,20272.2,"Électricité","Chauffage",2139.2,2023,,,,,,,,,,,,
"2495T0206674J","2024-01-19","2024-01-18","2024-01-16","DPE 2006 tertiaire et ERP",,"2034-01-17",2.3,,"dpe tertiaire vierge dans un bâtiment de logement",,,,,,,,"5ème Catégorie","1948-1974","J : Structures d’accueil pour personnes âgées ou personnes handicapées",0,125,100,,"6 PLACE DU MARECHAL FOCH","Enghien-les-Bains","95210","6","95210_0280_00006","6 Place du Maréchal Foch 95880 Enghien-les-Bains","95880",0.56,"Place du Maréchal Foch",649391.07,6874830.45,95880,0,,"2023/1277/BHY",,,"adresse géocodée ban à l'adresse","ENGHIEN LES BAINS","95","11",,,,,,,,,,,,,,,,,,
"2477T0227128J","2024-01-22","2024-01-21","2024-01-18","DPE 2006 tertiaire et ERP",,"2034-01-20",2.3,,"dpe tertiaire facture",,,"C","A",233.7,6.5,2013,"5ème Catégorie","2013-2021","J : Structures d’accueil pour personnes âgées ou personnes handicapées",10,220,100,,"Chemin rural des meuniers - Batiment : Marquises","Vaux-le-Pénil","77487",,"77487_1078","Chemin des Meuniers 77000 Vaux-le-Pénil","77000",0.51,"Chemin des Meuniers",678173.53,6824213.45,77000,0,,"MA2212197589 - bat Marquises",,,"adresse géocodée ban à l'adresse","VAUX LE PENIL","77","11",24587.1,56550.3,"Électricité","périmètre de l'usage inconnu",7132,2023,,,,,,,,,,,,
